Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Blessed and Precious Children Academy,Blessed and Precious Children Academy offers nursery and kindergarten educational programmes in Abuja.,nursery-and-kindergarten,"22 Road, FHA Estate Ext, Airport Road, Lugbe, Abuja FCT Nigeria","0803 333 0379, 0806 534 0932","=HYPERLINK(""http://blessedandpreciouschildren.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Blessed-and-Precious-Children-Academy/12076/"",""Read more"")"
Cornerstone Montessori Schools,"Cornerstone Montessori Schools provides educational programme to daycare, nursery and primary graders in Abuja.",nursery-and-kindergarten,"Plot 44, David Ejoor Crescent, Gudu District, Abuja FCT Nigeria","0818 900 2200, 0812 454 5865, 0809 883 4448","=HYPERLINK(""http://www.cornerstonemontessori.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Cornerstone-Montessori-Schools/12048/"",""Read more"")"
Doveland International Schools,"Doveland International Schools is an early institute providing creche, nursery and primary education in Abuja.",nursery-and-kindergarten,"21, Lingu Crescent, Wuse 2, Abuja FCT Nigeria","0802 148 6464, 09 291 1370","=HYPERLINK(""http://www.dovelandintschools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Doveland-International-Schools/12057/"",""Read more"")"
Eucharistic Heart of Jesus Model School,Eucharistic Heart of Jesus Model School offers nursery and kindergarten educational programmes in Abuja.,nursery-and-kindergarten,"34, Gado Nasco Way Kubwa Federal Housing, Kubwa, Abuja FCT Nigeria","0709-880-5703, 0709-880-5545","=HYPERLINK(""http://www.ehjms.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Eucharistic-Heart-of-Jesus-Model-School/12104/"",""Read more"")"
Fatima School Abuja,Fatima School Abuja is a catholic christian school offering nursery and primary educational programmes in Abuja.,nursery-and-kindergarten,"21, T.O.S Benson Crescent, Utako, Abuja FCT Nigeria",0803 501 4786,"=HYPERLINK(""http://www.fatimaschoolabuja.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Fatima-School-Abuja/12173/"",""Read more"")"
Grace Garden International,Grace Garden International provides nursery and kindergarten educational programmes in Abuja.,nursery-and-kindergarten,"21, Euphrates Street, Maitama, Abuja FCT Nigeria",0803-450 3632,"=HYPERLINK(""http://www.gracegardenschools.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Grace-Garden-International/12125/"",""Read more"")"
Great Heights Academy,Great Heights Academy is an islamic educational center for nursery and kindergarten educational programmes in Abuja.,nursery-and-kindergarten,"Plot 383, Cadastral zone B9, Kado Estate, Kado, Abuja FCT Nigeria","0703 794 2856, 0803 444 3856, 0805 688 3092","=HYPERLINK(""http://greatheightsacademy.org.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Great-Heights-Academy/12133/"",""Read more"")"
Raberto Schools,Raberto Schools offers nursery educational programmes in Abuja.,nursery-and-kindergarten,"159, Aminu Kano Crescent, Wuse 2, Abuja FCT Nigeria","09 780 9896, 09-291-6212","=HYPERLINK(""http://www.rabertoschools.com/index.php"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Raberto-Schools/12233/"",""Read more"")"
Stella Maris Nursery/Primary School,Stella Maris Nursery/Primary School provides educational programmes for nursery and primary graders in Abuja.,nursery-and-kindergarten,"Old Secretariat Gate, Area 1, Garki, Abuja FCT Nigeria","0703 487 4114, 0803 076 1098","=HYPERLINK(""http://www.smsabuja.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Stella-Maris-NurseryPrimary-School/12296/"",""Read more"")"
Treasure House Montessori School,Treasure House Montessori School offers educational programme for nursery and kindergarten graders in Abuja.,nursery-and-kindergarten,"12, Thomas Sankara Street, Asokoro, Abuja FCT Nigeria",0803 601 1654,"=HYPERLINK(""http://www.treasurehousemontessori.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Treasure-House-Montessori-School/12064/"",""Read more"")"
