Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Aflon Digital Academy,"Aflon Digital Academy is a Model Basic Education for pre-primary, primary 1-6 and JSS 1-3 education programmes.",primary-schools,"Cambial Road, behind NNPC Petrol Station, Kuje, Abuja FCT Nigeria",0803 312 1004,"=HYPERLINK(""http://aflon.edu.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Aflon-Digital-Academy/4601/"",""Read more"")"
Bankys Private School,Bankys Private School is a state of the art private school located in the heart of the Federal Capital Terriotory.,primary-schools,"Block C1 & D, Adamawa Court, Gaduwa Estate, Gaduwa, Abuja FCT Nigeria",0802 324 9880,"=HYPERLINK(""http://www.thebankyschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Bankys-Private-School/12074/"",""Read more"")"
Bellevue Elementary School,"A British curriculum elementary school , we cater for a multinational community with our pupils representing different communities. Located in a safe and secure location, we boost of excellent standards.",primary-schools,"6 Patrick Bokkor street.off Ebitu Ukiwe Street, Jabi Abuja, FCT",08057565411,"=HYPERLINK(""http://thebellevueschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Bellevue-Elementary-School/39161/"",""Read more"")"
"Benford International School, Abuja","Benford International School, Abuja offers educational programmes for early education and primary school graders in Abuja.",primary-schools,"Plot 1112, Benford Crescent, Adjacent to Sun City Estate, Ring Road 2, Abuja FCT Nigeria","0814 122 0808, 0909 732 1328","=HYPERLINK(""http://www.benfordschools.education/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Benford-International-School-Abuja/12725/"",""Read more"")"
Capville Schools,Capville Schools offers educational programmes for nursery and primary graders in Abuja.,primary-schools,"House 58/60, 4th Avenue, Gwarimpa Estate, Gwarimpa, Abuja FCT Nigeria","0803 956 5439, 0802 292 3697, 0803 324 3516","=HYPERLINK(""http://capvilleschoolsng.com/index.php"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Capville-Schools/12078/"",""Read more"")"
Cherryfield Nursery and Primary School,Cherryfield Nursery and Primary School offers nursery and primary educational programmes in Abuja.,primary-schools,"Plot 427, B2 close, 1st Avenue, Gwarinpa Estate II, Gwarinpa, Abuja FCT Nigeria","0803 628 1367, 0802 322 9807, 0816 958 5906","=HYPERLINK(""http://www.cherryfieldschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Cherryfield-Nursery-and-Primary-School/12250/"",""Read more"")"
Deo Gratias International School,Deo Gratias International School provides primary educational programmes in Abuja.,primary-schools,"Plot 15, Kaltungo Street, Garki 2, Abuja FCT Nigeria","0803 786 6095, 0803 786 7959","=HYPERLINK(""http://deogratiasschool.blogspot.com.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Deo-Gratias-International-School/12236/"",""Read more"")"
ECWA Hills Christian Academy,ECWA Hills Christian Academy offers nursery and primary educational programmes in Abuja.,primary-schools,"8, Tennesse Crescent, Maitama, Abuja FCT Nigeria",0703 583 3845,"=HYPERLINK(""http://hillschristianacademymaitama.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/ECWA-Hills-Christian-Academy/12096/"",""Read more"")"
El-Amin International School,"El-Amin International School is a private co-educational pre-primary, primary and secondary school for students between the ages of 2-15 years",primary-schools,"1, Gurara Street, Off IBB Way, Maitama District, Abuja FCT Nigeria",No Phone numbers,"=HYPERLINK(""http://elamininternationalschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/ElAmin-International-School/12242/"",""Read more"")"
Eminence school,Eminence school offers educational programmes for nursery and primary graders in Abuja.,primary-schools,"Plot 490, Jabi/Dakibiu District, Cadastral Zone B10, Jabi, Abuja FCT Nigeria","0803 592 6294, 0805 114 1737","=HYPERLINK(""http://www.eminenceschools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Eminence-school/12098/"",""Read more"")"
Fairview School,Fairview School offers primary educational programmes in Abuja.,primary-schools,"2, Oro-Ago Close, Off Oro-Ago Crescent, Garki 2, Abuja FCT Nigeria",0803 888 1189,"=HYPERLINK(""http://www.fairviewschool.com.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Fairview-School/12212/"",""Read more"")"
Funtaj International Nursery and Primary School,Funtaj International provides nursery and primary educational programme in Abuja.,primary-schools,"Plot 474, Nelson Mandela Street, Asokoro, Abuja FCT Nigeria","0702 634 9297, 0702 634 9298","=HYPERLINK(""http://www.funtajschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Funtaj-International-Nursery-and-Primary-School/12059/"",""Read more"")"
Goshen Montessori Schools,Goshen Montessori Schools is a Montessori based school for the early years (18 months - 5years) where teaching and learning is individualistic.,primary-schools,"Plot 65 & 65A, Kubwa Annex (HE) Layout, Along Arab Road, Kubwa, Abuja FCT NIgeria","0807 736 2496, 0816 122 1900","=HYPERLINK(""http://goshenmontessorischools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Goshen-Montessori-Schools/23729/"",""Read more"")"
International Community School Abuja (ICS),"International Community School offers crèche, nursery and primary educatioanl programmes in Abuja.",primary-schools,"Plot 75, Off Citec Road, Dakibiyu, Abuja FCT Nigeria","0803 349 8741, 0815 705 8707","=HYPERLINK(""http://www.icsabuja.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/International-Community-School-Abuja-ICS/12080/"",""Read more"")"
Light of Day School (LODS),Light of Day School offers educational programmes for nursery and primary graders in Abuja.,primary-schools,"Plot 190, Extension II (Pipeline), Kubwa, Abuja FCT Nigeria","0803 331 7159, 0814 124 3325","=HYPERLINK(""http://lightofdayschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Light-of-Day-School-LODS/12175/"",""Read more"")"
Olumawu Nursery and Primary School,Olumawu Nursery and Primary School offers educational programmes for nursery and primary schools in Abuja.,primary-schools,"92, Ademola Adetokunbo Crescent, Wuse 2, Abuja FCT Nigeria",0803 311 3304,"=HYPERLINK(""http://www.olumawu.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Olumawu-Nursery-and-Primary-School/12097/"",""Read more"")"
