Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Ave Maria Girls' Secondary School,Ave Maria Girls' Secondary School provides educational programmes for girs secondary school graders in Abuja,secondary-schools,"Along Karshi Road, Jikwoyi, Abuja FCT Nigeria","0803 589 5190, 0816 325 3500","=HYPERLINK(""http://avemariaprimaryandsecondaryschools.com/contactus.html"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Ave-Maria-Girls-Secondary-School/12720/"",""Read more"")"
Baptist High School,Baptist High School provides secondary school educational programmes in Abuja.,secondary-schools,"Baptist Convention Ground, off Abuja  Zuba Expressway (Kubwa Second Gate), Kubwa, Abuja FCT Nigeria","0818 409 6896, 0815 735 7174, 0806 683 9515","=HYPERLINK(""http://www.baptisthighschool.org.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Baptist-High-School/12722/"",""Read more"")"
Divine Mercy Secondary School,Divine Mercy Secondary School offers educational programmes for secondary school graders in Abuja,secondary-schools,"Plot 328, Jimmy Carter Street, Asokoro, Abuja FCT Nigeria","0805 560 4515, 0803 311 0780","=HYPERLINK(""http://www.divinemercyschoolabuja.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Divine-Mercy-Secondary-School/12728/"",""Read more"")"
Kings Ville College,Kings Ville College provides secondary school educational programmes in Abuja.,secondary-schools,"Plot 1450, Jahi Cadastral Zone, Jahi, Abuja FCT Nigeria","0705 599 5561, 0803 957 1234","=HYPERLINK(""http://kingsvillecollege-ng.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Kings-Ville-College/12762/"",""Read more"")"
Kingsville College,Kingsville College is a co-educational secondary school with day and boarding facilities based in Abuja.,secondary-schools,"Plot 1450, Jahi Cadastral Zone, Jahi, Abuja FCT Nigeria","0705 599 5561, 0803 957 1234","=HYPERLINK(""http://kingsvillecollege-ng.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Kingsville-College/12061/"",""Read more"")"
Light of Day Schools,Light of Day Schools provides secondary school educational programmes in Abuja.,secondary-schools,"Plot 190, Extension II (Pipeline), Kubwa, Abuja FCT Nigeria","0803 331 7159, 0814 124 3325","=HYPERLINK(""http://lightofdayschool.com"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Light-of-Day-Schools/12758/"",""Read more"")"
Lousiville Girls Secondary School,Lousiville Girls Secondary School is a girls' secondary educational institution in Abuja.,secondary-schools,"Old kutunku, Gwagwalada, Abuja FCT Nigeria",0803 392 2325,"=HYPERLINK(""http://home.louisvilleabuja.org.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Lousiville-Girls-Secondary-School/12055/"",""Read more"")"
Loyola Jesuit College,Loyola Jesuit College runs junior secondary and senior secondary programmes in Abuja.,secondary-schools,"Gidan Mangoro, Karu-Karshi Road, Karu, Abuja FCT Nigeria","0705 333 3380, 0806 067 0700, 0805 490 9665","=HYPERLINK(""http://www.loyolajesuit.org/ljchome_ie.htm"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Loyola-Jesuit-College/12066/"",""Read more"")"
NAPO Private School,NAPO Private School offers secondary educational programmes in Abuja.,secondary-schools,"20, Gana Street, Cadastral Zone 45, Maitama District, Abuja FCT Nigeria","0803 656 8351, 0805 610 9347","=HYPERLINK(""http://www.naposchools.com/new/_secondary.php"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/NAPO-Private-School/12202/"",""Read more"")"
Olumawu College,Olumawu College is a co-educational day secondary school in Abuja.,secondary-schools,"92, Ademola Adetokunbo Crescent, Wuse 2, Abuja FCT Nigeria",0803 311 3304,"=HYPERLINK(""http://olumawu.org/secondary/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Olumawu-College/12063/"",""Read more"")"
